epoch:8	trainacc=0.943217665615142	trainloss=0.15874720933893133	acc=0.7483702737940026	prec=0.7938461538461539	f1=0.7277856135401974	auc=0.8286145561357702	spec=0.825065274151436	mcc=0.502824440749779	auprc=0.82333460902982	sensitivity=0.671875
epoch:9	trainacc=0.9506240570566452	trainloss=0.13473259063520512	acc=0.7705345501955672	prec=0.7905027932960894	f1=0.7628032345013477	auc=0.8786920691906004	spec=0.804177545691906	mcc=0.5423565400853696	auprc=0.8911157728832959	sensitivity=0.7369791666666666
epoch:10	trainacc=0.9574818269098889	trainloss=0.11946506252870169	acc=0.7835723598435462	prec=0.8132183908045977	f1=0.773224043715847	auc=0.869179721496954	spec=0.8302872062663186	mcc=0.5697120501321192	auprc=0.8701963992377133	sensitivity=0.7369791666666666
epoch:11	trainacc=0.9618022219174325	trainloss=0.1075386420045972	acc=0.7783572359843546	prec=0.8074712643678161	f1=0.76775956284153	auc=0.8601705287206265	spec=0.825065274151436	mcc=0.5592368162817474	auprc=0.8620490236450151	sensitivity=0.7317708333333334
epoch:12	trainacc=0.9672884378000274	trainloss=0.09686254909487095	acc=0.7614080834419817	prec=0.778393351800554	f1=0.7543624161073825	auc=0.8680034268929504	spec=0.7911227154046997	mcc=0.5237953819341702	auprc=0.8702041767794222	sensitivity=0.7317708333333334
epoch:13	trainacc=0.9668769716088328	trainloss=0.09147642252595937	acc=0.7848761408083442	prec=0.8137535816618912	f1=0.7748976807639837	auc=0.8536227154046998	spec=0.8302872062663186	mcc=0.5721901150027131	auprc=0.8487403312406016	sensitivity=0.7395833333333334
epoch:14	trainacc=0.965025373748457	trainloss=0.10007881064987172	acc=0.7835723598435462	prec=0.8044692737430168	f1=0.7762803234501348	auc=0.8723278394255876	spec=0.8172323759791122	mcc=0.5684900174657537	auprc=0.8742202418126057	sensitivity=0.75
epoch:15	trainacc=0.9723631874914278	trainloss=0.0850789813772788	acc=0.7835723598435462	prec=0.8132183908045977	f1=0.773224043715847	auc=0.8764618690165361	spec=0.8302872062663186	mcc=0.5697120501321192	auprc=0.8809367448206811	sensitivity=0.7369791666666666
epoch:16	trainacc=0.9771636263886984	trainloss=0.06967166878230381	acc=0.7561929595827901	prec=0.8087774294670846	f1=0.7339971550497866	auc=0.8600277415143602	spec=0.8407310704960835	mcc=0.5200132331951006	auprc=0.8554651608914866	sensitivity=0.671875
epoch:17	trainacc=0.9774379371828281	trainloss=0.06528324625447895	acc=0.7796610169491526	prec=0.7961432506887053	f1=0.7737617135207497	auc=0.860034540905135	spec=0.8067885117493473	mcc=0.5601931344253219	auprc=0.8369733969688489	sensitivity=0.7526041666666666
epoch:18	trainacc=0.9803182005211906	trainloss=0.05923934382514428	acc=0.7666232073011734	prec=0.8115501519756839	f1=0.7489481065918654	auc=0.863291449086162	spec=0.8381201044386423	mcc=0.5389016980417548	auprc=0.8665360369352726	sensitivity=0.6953125
epoch:19	trainacc=0.9818954875874366	trainloss=0.057129683425272304	acc=0.7770534550195567	prec=0.8123167155425219	f1=0.7641379310344827	auc=0.8639237924281985	spec=0.8328981723237598	mcc=0.5576870304467813	auprc=0.8635460497156402	sensitivity=0.7213541666666666
epoch:20	trainacc=0.9778494033740228	trainloss=0.061732390990623505	acc=0.7744458930899609	prec=0.8149253731343283	f1=0.7593880389429764	auc=0.8735925261096605	spec=0.8381201044386423	mcc=0.5535012845774764	auprc=0.8807856635601807	sensitivity=0.7109375
